Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,29.9941,30.1224,29.8401,30.0711,30.0711,1064647
2010-01-05,30.5329,30.7895,29.9428,30.6869,30.6869,3868069
2010-01-06,30.6869,30.8408,29.9171,30.2763,30.2763,5931544
2010-01-07,30.2763,30.5072,29.4296,29.8145,29.8145,3622067
2010-01-08,29.404,30.7125,29.404,30.4046,30.4046,5282949
2010-01-11,30.1737,30.8921,30.1737,30.7638,30.7638,5070501
2010-01-12,30.379,31.0461,30.379,30.8921,30.8921,4789093
2010-01-13,30.225,30.225,28.6342,28.8908,28.8908,16495417
2010-01-14,28.8908,29.0961,28.5316,28.5316,28.5316,6734275
2010-01-15,28.275,28.8908,28.1724,28.7882,28.7882,7877178
2010-01-18,28.198,28.5316,27.9158,28.3263,28.3263,10270158
2010-01-19,28.2237,28.6342,27.8388,28.4803,28.4803,13272552
2010-01-20,28.2237,28.6342,27.7105,27.7619,27.7619,8453979
2010-01-21,27.0434,27.1974,26.5816,26.6329,26.6329,19975925
2010-01-22,26.402,26.5816,25.6579,26.2737,26.2737,7864486
2010-01-25,25.7862,26.8125,25.7862,26.7612,26.7612,4393763
2010-01-26,26.6842,26.7355,25.9145,26.3507,26.3507,4599730
2010-01-27,26.6842,26.6842,26.1454,26.1967,26.1967,3587746
2010-01-28,26.6586,26.6842,25.6066,25.6579,25.6579,8442895
2010-01-29,25.0421,25.6322,25.0421,25.2217,25.2217,5741264
2010-02-01,25.504,25.9658,25.0934,25.9145,25.9145,6193841
2010-02-02,25.6579,26.2994,25.6579,26.1197,26.1197,5190474
2010-02-03,26.1197,26.5046,25.9401,26.4276,26.4276,9969354
2010-02-04,26.0941,26.0941,25.1448,25.3244,25.3244,9570732
2010-02-05,24.2467,24.6316,24.2467,24.4007,24.4007,10641396
2010-02-08,24.1954,24.375,23.5283,23.8105,23.8105,9308669
2010-02-09,23.9645,24.529,23.9388,24.375,24.375,9561653
2010-02-10,24.7342,24.7342,23.8875,24.452,24.452,7952995
2010-02-11,24.452,25.4013,24.452,25.2987,25.2987,9423363
2010-02-12,26.2224,26.3763,25.7605,25.9658,25.9658,15318497
2010-02-17,26.6329,26.8895,26.0684,26.402,26.402,6465027
2010-02-18,26.4276,26.4276,25.7605,26.0428,26.0428,3360372
2010-02-19,25.5553,25.7862,24.8625,24.9395,24.9395,13545030
2010-02-22,25.8632,25.8632,25.4013,25.7349,25.7349,7019150
2010-02-23,26.1711,26.8895,25.7605,26.8125,26.8125,9771497
2010-02-24,26.6073,27.3513,26.4276,26.7612,26.7612,6816558
2010-02-25,26.6329,27.1204,26.2994,26.5559,26.5559,5772767
2010-02-26,27.0947,27.1717,26.6842,26.9151,26.9151,5972818
2010-03-01,27.6079,27.9928,27.4283,27.9158,27.9158,8772729
2010-03-02,27.6079,27.9671,27.6079,27.8388,27.8388,3480619
2010-03-03,27.8901,27.9671,27.223,27.2487,27.2487,3693922
